Frequency1,Amplitude1,Frequency2,Amplitude2,Frequency3,Amplitude3,Depth,Velocity
0.0,2.630496,15.368421,4.527475,30.736842,4.191496,66.0,482.0
0.0,3.605209,15.315789,8.119765,30.631579,10.682435,66.0,667.0
0.0,4.936295,15.421053,13.244555,30.842105,15.105602,66.0,753.0
0.0,2.027898,15.588235,36.678431,31.176471,64.688695,175.0,938.0
0.0,1.880294,15.842105,2.988879,31.684211,2.3257,66.0,280.0
0.0,2.468238,15.815789,3.312624,31.631579,2.738464,66.0,345.0
0.0,2.694202,15.763158,3.263792,31.526316,4.977727,66.0,425.0
0.0,0.091241,15.763158,2.946281,31.526316,4.186786,96.0,470.0
0.0,0.257065,15.315789,3.741635,30.631579,6.779933,96.0,625.0
0.0,1.644537,15.210526,20.098771,30.421053,18.383207,96.0,845.0
0.0,2.243832,15.657895,6.142481,31.315789,6.465074,126.0,680.0
0.0,4.401387,15.394737,13.990726,30.789474,12.6016,126.0,841.0
0.0,4.796052,15.970588,21.405454,31.941176,38.209944,126.0,938.0
0.0,1.069801,15.861111,40.517509,31.722222,66.831463,126.0,1056.0
0.0,1.431045,15.342105,1.687319,30.684211,4.463424,103.0,324.0
0.0,2.09414,15.368421,3.159607,30.736842,2.10201,133.0,294.0
0.0,2.454784,15.352941,7.348345,30.705882,11.874103,133.0,565.0
